"data_id","language","form","age","gender","mom_ed","comprehension","production"
89107,"English (British)","TEDS Twos",24,"Male","Some Secondary",16,16
89108,"English (British)","TEDS Twos",24,"Female","Some Secondary",61,61
89109,"English (British)","TEDS Twos",23,"Male","Some Secondary",100,100
89110,"English (British)","TEDS Twos",23,"Male","Some Secondary",86,86
89111,"English (British)","TEDS Twos",24,"Female","Some Secondary",33,33
89112,"English (British)","TEDS Twos",24,"Female","Some Secondary",22,22
89113,"English (British)","TEDS Twos",24,"Male","Secondary",71,71
89114,"English (British)","TEDS Twos",24,"Male","Secondary",41,41
89115,"English (British)","TEDS Twos",25,"Female","Primary",75,75
89116,"English (British)","TEDS Twos",25,"Female","Primary",67,67
89117,"English (British)","TEDS Twos",23,"Male","Secondary",48,48
89118,"English (British)","TEDS Twos",23,"Female","Secondary",59,59
89119,"English (British)","TEDS Twos",24,"Male","Some Secondary",14,14
89120,"English (British)","TEDS Twos",24,"Male","Some Secondary",18,18
89121,"English (British)","TEDS Twos",23,"Female","None",77,77
89122,"English (British)","TEDS Twos",23,"Female","None",82,82
89123,"English (British)","TEDS Twos",24,"Female","Some Secondary",58,58
89124,"English (British)","TEDS Twos",24,"Male","Some Secondary",46,46
89125,"English (British)","TEDS Twos",24,"Female","Primary",54,54
89126,"English (British)","TEDS Twos",24,"Female","Primary",55,55
89127,"English (British)","TEDS Twos",24,"Female","Secondary",48,48
89128,"English (British)","TEDS Twos",24,"Female","Secondary",48,48
89129,"English (British)","TEDS Twos",23,"Female","Graduate",78,78
89130,"English (British)","TEDS Twos",23,"Female","Graduate",65,65
89131,"English (British)","TEDS Twos",33,"Female","Some Secondary",100,100
89132,"English (British)","TEDS Twos",33,"Male","Some Secondary",100,100
89133,"English (British)","TEDS Twos",23,"Male","Some Secondary",50,50
89134,"English (British)","TEDS Twos",23,"Male","Some Secondary",43,43
89135,"English (British)","TEDS Twos",23,"Female",NA,27,27
89136,"English (British)","TEDS Twos",23,"Female",NA,20,20
89137,"English (British)","TEDS Twos",23,"Female","College",74,74
89138,"English (British)","TEDS Twos",23,"Female","College",74,74
89139,"English (British)","TEDS Twos",23,"Male","Primary",28,28
89140,"English (British)","TEDS Twos",24,"Female","Primary",0,0
89141,"English (British)","TEDS Twos",23,"Male","Some Secondary",45,45
89142,"English (British)","TEDS Twos",23,"Male","Some Secondary",44,44
89143,"English (British)","TEDS Twos",23,"Female","Primary",23,23
89144,"English (British)","TEDS Twos",23,"Female","Primary",21,21
89145,"English (British)","TEDS Twos",23,"Female","Some Secondary",43,43
89146,"English (British)","TEDS Twos",23,"Male","Some Secondary",39,39
89147,"English (British)","TEDS Twos",24,"Female","Graduate",44,44
89148,"English (British)","TEDS Twos",24,"Male","Graduate",28,28
89149,"English (British)","TEDS Twos",24,"Female","Some Secondary",59,59
89150,"English (British)","TEDS Twos",24,"Female","Some Secondary",50,50
89151,"English (British)","TEDS Twos",24,"Female","College",48,48
89152,"English (British)","TEDS Twos",24,"Female","College",48,48
89153,"English (British)","TEDS Twos",24,"Male","Secondary",68,68
89154,"English (British)","TEDS Twos",24,"Male","Secondary",79,79
89155,"English (British)","TEDS Twos",24,"Female","Secondary",50,50
89156,"English (British)","TEDS Twos",24,"Female","Secondary",62,62
89157,"English (British)","TEDS Twos",24,"Female","Some College",24,24
89158,"English (British)","TEDS Twos",24,"Female","Some College",32,32
89159,"English (British)","TEDS Twos",24,"Male","College",38,38
89160,"English (British)","TEDS Twos",24,"Male","College",29,29
89161,"English (British)","TEDS Twos",25,"Male","Some Secondary",8,8
89162,"English (British)","TEDS Twos",24,"Female","Some Secondary",62,62
89163,"English (British)","TEDS Twos",25,"Male","College",90,90
89164,"English (British)","TEDS Twos",25,"Male","College",88,88
89165,"English (British)","TEDS Twos",24,"Female","Primary",97,97
89166,"English (British)","TEDS Twos",24,"Female","Primary",100,100
89167,"English (British)","TEDS Twos",27,"Male","Some Secondary",27,27
89168,"English (British)","TEDS Twos",27,"Male","Some Secondary",28,28
89169,"English (British)","TEDS Twos",24,"Female","Graduate",40,40
89170,"English (British)","TEDS Twos",24,"Female","Graduate",40,40
89171,"English (British)","TEDS Twos",22,"Female","Primary",100,100
89172,"English (British)","TEDS Twos",22,"Female","Primary",96,96
89173,"English (British)","TEDS Twos",22,"Male","None",39,39
89174,"English (British)","TEDS Twos",22,"Male","None",34,34
89175,"English (British)","TEDS Twos",23,"Female","Some Secondary",56,56
89176,"English (British)","TEDS Twos",23,"Female","Some Secondary",54,54
89177,"English (British)","TEDS Twos",24,"Male","College",35,35
89178,"English (British)","TEDS Twos",24,"Male","College",97,97
89179,"English (British)","TEDS Twos",23,"Male","Some College",15,15
89180,"English (British)","TEDS Twos",23,"Male","Some College",14,14
89181,"English (British)","TEDS Twos",24,"Male","Some Secondary",14,14
89182,"English (British)","TEDS Twos",24,"Male","Some Secondary",18,18
89183,"English (British)","TEDS Twos",28,"Male","Some Secondary",85,85
89184,"English (British)","TEDS Twos",28,"Male","Some Secondary",78,78
89185,"English (British)","TEDS Twos",23,"Female","Primary",42,42
89186,"English (British)","TEDS Twos",23,"Male","Primary",42,42
89187,"English (British)","TEDS Twos",24,"Male","Graduate",13,13
89188,"English (British)","TEDS Twos",24,"Female","Graduate",64,64
89189,"English (British)","TEDS Twos",24,"Male","Some Secondary",88,88
89190,"English (British)","TEDS Twos",24,"Male","Some Secondary",84,84
89191,"English (British)","TEDS Twos",24,"Female","Graduate",17,17
89192,"English (British)","TEDS Twos",24,"Female","Graduate",18,18
89193,"English (British)","TEDS Twos",24,"Female","Secondary",27,27
89194,"English (British)","TEDS Twos",24,"Female","Secondary",27,27
89195,"English (British)","TEDS Twos",23,"Male","Primary",51,51
89196,"English (British)","TEDS Twos",23,"Male","Primary",33,33
89197,"English (British)","TEDS Twos",25,"Female","College",38,38
89198,"English (British)","TEDS Twos",24,"Female","College",36,36
89199,"English (British)","TEDS Twos",26,"Female","Some Secondary",75,75
89200,"English (British)","TEDS Twos",26,"Male","Some Secondary",69,69
89201,"English (British)","TEDS Twos",23,"Female","Some Secondary",36,36
89202,"English (British)","TEDS Twos",23,"Female","Some Secondary",34,34
89203,"English (British)","TEDS Twos",24,"Female","Secondary",54,54
89204,"English (British)","TEDS Twos",24,"Male","Secondary",62,62
89205,"English (British)","TEDS Twos",24,"Female","Secondary",100,100
89206,"English (British)","TEDS Twos",24,"Female","Secondary",100,100
89207,"English (British)","TEDS Twos",24,"Female","Secondary",33,33
89208,"English (British)","TEDS Twos",24,"Female","Secondary",27,27
